Time (s) - CH 0,Voltage (V) - CH 0,Voltage (V) - CH 1
10.938m,113.750994m,113.730133m
10.953m,113.82401m,113.509595m
10.969m,113.908648m,113.268793m
10.984m,114.023983m,113.017261m
11.000m,114.142299m,112.805367m
11.016m,114.202201m,112.662911m
11.031m,114.319921m,112.494528m
11.047m,114.448369m,112.318993m
11.062m,114.552081m,112.235248m
11.078m,114.715993m,112.123489m
11.094m,114.866495m,112.077594m
11.109m,114.992559m,112.022758m
11.125m,115.172565m,112.006664m
11.141m,115.291476m,112.099648m
11.156m,115.405023m,112.173855m
11.172m,115.552247m,112.355053m
11.187m,115.654469m,112.595558m
11.203m,115.740895m,112.912655m
11.219m,115.811229m,113.257468m
11.234m,115.911067m,113.584697m
11.250m,115.983784m,114.025176m
11.266m,115.998387m,114.519298m
11.281m,116.020441m,115.022063m
11.297m,116.03713m,115.56983m
11.312m,115.992427m,116.178095m
11.328m,115.93461m,116.791427m
11.344m,115.866959m,117.384791m
11.359m,115.801096m,117.937028m
11.375m,115.719736m,118.465126m
11.391m,115.593374m,118.963122m
11.406m,115.519464m,119.398236m
11.422m,115.410089m,119.792223m
11.437m,115.290582m,120.103657m
11.453m,115.185678m,120.34297m
11.469m,115.064681m,120.472908m
11.484m,114.972293m,120.49526m
11.500m,114.863217m,120.445788m
11.516m,114.783049m,120.228231m
11.531m,114.699602m,119.942725m
11.547m,114.627481m,119.612515m
11.562m,114.56728m,119.160414m
11.578m,114.476085m,118.661821m
11.594m,114.408433m,118.058622m
11.609m,114.370286m,117.389262m
11.625m,114.34108m,116.684735m
11.641m,114.31843m,115.953088m
11.656m,114.292502m,115.195215m
11.672m,114.266872m,114.385188m
11.687m,114.272833m,113.64609m
11.703m,114.246905m,112.90431m
11.719m,114.258826m,112.165511m
11.734m,114.280283m,111.482739m
11.750m,114.282668m,110.800266m
11.766m,114.322901m,110.168159m
11.781m,114.330947m,109.628439m
11.797m,114.364922m,109.198093m
11.813m,114.389658m,108.871758m
11.828m,114.398897m,108.616054m
11.844m,114.437044m,108.432174m
11.859m,114.469826m,108.323693m
11.875m,114.517212m,108.298063m
11.891m,114.569962m,108.377635m
11.906m,114.615262m,108.524561m
11.922m,114.667714m,108.750165m
11.938m,114.732981m,109.087825m
11.953m,114.784539m,109.524429m
11.969m,114.825666m,109.997094m
11.984m,114.885569m,110.496283m
12.000m,114.951432m,111.107528m
12.016m,115.02713m,111.759007m
12.031m,115.099847m,112.362206m
12.047m,115.143061m,113.018155m
12.063m,115.187764m,113.727152m
12.078m,115.245581m,114.422441m
12.094m,115.306675m,115.106106m
12.109m,115.348995m,115.766823m
12.125m,115.404427m,116.427243m
12.141m,115.453303m,117.069483m
12.156m,115.452707m,117.704272m
12.172m,115.48847m,118.278563m
12.188m,115.517974m,118.786991m
12.203m,115.516186m,119.306445m
12.219m,115.538239m,119.736195m
12.234m,115.546286m,120.058656m
12.250m,115.556419m,120.343864m
12.266m,115.573406m,120.552778m
12.281m,115.578175m,120.667219m
12.297m,115.573108m,120.70626m
12.313m,115.5743m,120.669007m
12.328m,115.553439m,120.583475m
12.344m,115.489364m,120.412409m
12.359m,115.495324m,120.177865m
12.375m,115.48996m,119.924843m
12.391m,115.450621m,119.556785m
12.406m,115.447342m,119.104385m
12.422m,115.406215m,118.634701m
12.438m,115.368366m,118.123293m
12.453m,115.305483m,117.610097m
12.469m,115.263164m,117.106438m
12.484m,115.250647m,116.564929m
12.500m,115.181506m,115.999579m
12.516m,115.122795m,115.444958m
12.531m,115.087032m,114.901364m
12.547m,115.055144m,114.38787m
12.563m,114.997625m,113.931596m
12.578m,114.92312m,113.479495m
12.594m,114.850104m,113.033652m
12.609m,114.780962m,112.695992m
12.625m,114.713609m,112.437308m
12.641m,114.619136m,112.157464m
